tonality;the division of spoken material into chunks
tonicity;the determination of the focused syllable
tone;the determination of the pitch movement
an intonation phrase;an utterance with its own intonation pattern
the nucleus;the last accent within the intonation phrase
the tail;the unaccented syllables after the nucleus
the head;the part extending from the onset to the last syllable before the nucleus
the onset;the first accent in the head
the prehead;the unaccented syllables before the onset
